date,time,location,operator,aboard,fatalities,f rate
7-Jun-31,900,"Near Sandoway, Burma",Air Orient,4,4,1
11-Jun-31,?,"Walbridge, Ohio",Rubner Flying Service,3,2,0.666666667
13-Jun-31,?,"Saarbrucken, Germany",Deutsche Lufthansa,4,4,1
12-Jul-31,?,"Chicago, Illinois",Braniff Airlines,2,2,1
14-Jul-31,?,"Temora, Australia",Australian Aerial Services,2,2,1
21-Jul-31,?,"Centralia, Illinois",American Airways,1,1,1
24-Jul-31,?,"Kurudjevo, Bulgaria",CIDNA,7,7,1
9-Aug-31,840,"Cincinnati, Ohio",American Airways,6,6,1
14-Sep-31,2000,"Chicago, Illinois",Chicago-Detroit Airways,1,1,1
15-Sep-31,?,"Near Craiova, Oltenia, Romania",CIDNA,6,6,1
16-Sep-31,400,"Oakland, California",Pacific Air Transport,4,4,1
6-Oct-31,?,"Novia Scotia, Canada",Deutsche Lufthansa,3,3,1
14-Oct-31,?,Brazil,Syndicato Condor,3,3,1
5-Nov-31,648,"Camden, New Jersey","NY, Phil., Washington AW",5,5,1
13-Nov-31,?,"Sir Lowry's pass, South Africa",Union Airways,3,3,1
23-Nov-31,?,"Salt Lake City, Utah",Boeing Air Transport,1,1,1
24-Nov-31,?,"Near Tsinan, China",China National Aviation Corporation,3,3,1
26-Nov-31,2230,"Pasco, Washington",Varney Air Lines,1,1,1
5-Dec-31,?,"Kewanee, Illinois",Braniff Airways,6,2,0.333333333
6-Dec-31,545,"Bangkok, Thailand",KLM Royal Dutch Airlines,7,5,0.714285714
9-Dec-31,?,Off Algiers,Aeropostale,2,2,1
31-Dec-31,?,"Springfield, Ohio",American Airways,5,4,0.8
21-Jan-32,?,"Colvin Park, Ilinois",Northwest Airways,1,1,1
29-Jan-32,c 16:00,"Lebec, California",Century Pacific Lines,8,8,1
1-Feb-32,?,"Off Miami, Florida",Bimini Airways,5,5,1
2-Feb-32,?,"Rio Vista, California",Boeing Air Transport,2,1,0.5
2-Feb-32,?,"Marcellus, Michigan",Transamerican Airlines,1,1,1
27-Feb-32,?,"Off Setiba, Brazil",Aeropostale,3,3,1
8-Mar-32,2:00,"Saint Louis, Illinois",Century Air Lines,5,3,0.6
19-Mar-32,1930,"Calimesa, California",American Airways,7,7,1
21-Mar-32,?,"Steubenville, Ohio",Trans Continental and Western Air,1,1,1
29-Mar-32,?,"Rutbah Wells, Iraq",Air Orient,3,3,1
31-Mar-32,?,"Bedford, Ohio",National Air Transport,1,1,1
21-Apr-32,?,"Fort Wayne, Indiana",Transamerica Airlines,1,1,1
16-May-32,?,"Burbank, California",Pacific Air Transport,3,3,1
30-May-32,1200,"Portland, Oregon",Varney Air Lines,2,1,0.5
16-Jul-32,c 08:00,"Mount El Plomo, near Vitacura, Chile",Panagra,9,9,1
12-Aug-32,?,"Beyrouth, Lebanon",Air Orient,7,0,0
31-Aug-32,10,"Tubergen, Germany",A B Aerotransport,2,2,1
8-Sep-32,c:09:00,"Salt Flats, Texas",American Airways,4,3,0.75
17-Sep-32,600,"Selsdon Park, England",Air Union,2,1,0.5
18-Sep-32,?,"Byron Bay, Australia",New England Airways,3,3,1
12-Oct-32,?,"Port Etienne, Mauritania",Aeropostale,1,1,1
26-Oct-32,?,"Villa Monte, Bolivia",Lloyd Aero Boliviano,2,2,1
29-Oct-32,?,"Ramsgate, England",Deutsche Lufthansa,2,2,1
2-Nov-32,?,"Echterpfuhl, Germany",Deutsche Lufthansa,5,5,1
25-Nov-32,?,"Marianna, Arkansas",Hunter Airways,2,2,1
